Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
813,R13B-08,SUPERMAX TM-1,SL,195/60R15,38.368,AUTO TIRES,SUPERMAX,1
814,R13B-09,SUPERMAX TM-1,SL,185/65R15,38.368,AUTO TIRES,SUPERMAX,1
815,R13B-10,SUPERMAX TM-1,SL,195/60R15,38.368,AUTO TIRES,SUPERMAX,1
816,R13B-11,LEXANI LXTR-203,SL,195/65R15,39.2,AUTO TIRES,LEXANI,1
817,R13B-12,SUPERMAX TM-1,SL,185/65R15,38.368,AUTO TIRES,SUPERMAX,1
818,R13B-13,NEXEN N'PRIZ AH5,SL,215/65R16,67.184,AUTO TIRES,NEXEN,1
819,R13B-15,MILESTAR TOURING SLE,SL,195/75R14,44.248,AUTO TIRES,MILESTAR,1
820,R13B-16,WESTLAKE RADIAL RP18,SL,205/65R16,48.768,AUTO TIRES,WESTLAKE,1
821,R13B-17,MILESTAR MS932 SPORT,SL,225/65R17,54.368,AUTO TIRES,MILESTAR,1
822,R13B-18,SUPERMAX TM-1,SL,185/65R14,35.968,AUTO TIRES,SUPERMAX,0
823,R13B-19,CARLISLE RELIANCE RADIAL ST,D,205/75R14,55.168,TRAILER TIRES,CARLISLE,1
824,R13B-20,SUMIC GT65A,SL,185/65R14,36.776,AUTO TIRES,SUMIC,1
825,R13B-21,CARLISLE RELIANCE RADIAL ST,D,205/75R14,55.168,TRAILER TIRES,CARLISLE,1
826,R13B-22,SUPERMAX TM-1,SL,185/65R14,35.968,AUTO TIRES,SUPERMAX,1
827,R13B-23,SUPERMAX TM-1,SL,195/70R14,38.368,AUTO TIRES,SUPERMAX,1
828,R13B-24,SUMIC GT65A,SL,185/65R14,36.776,AUTO TIRES,SUMIC,1
829,R13B-25,SUPERMAX TM-1,SL,195/65R15,37.568,AUTO TIRES,SUPERMAX,1
830,R13B-26,COOPER COBRA RADIAL G/T,SL,225/70R14,68.8,AUTO TIRES,COOPER,1
831,R13B-27,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
832,R13B-28,SUPERMAX TM-1,SL,205/55R16,39.968,AUTO TIRES,SUPERMAX,1
507,R7C-22,FALKEN WILDPEAK M/T MT01,E,33X12.50R17,224,AUTO TIRES,FALKEN,1
508,R7B-22,GOODYEAR ASSURANCE FUEL MAX,SL,225/55R17,100.408,AUTO TIRES,GOODYEAR,1
509,R7B-23,COOPER DISCOVERER S/T MAXX,E,265/70R17,191.992,AUTO TIRES,COOPER,1
510,R8A-01,ACHILLES ATR SPORT 2,XL,225/45ZR18,53.6,AUTO TIRES,ACHILLES,1
511,R8A-02,ANTARES INGENS A1,XL,215/45ZR17,49.272,AUTO TIRES,ANTARES,1
512,R8A-03,SUPERMAX TM-1,SL,225/45R17,45.568,AUTO TIRES,SUPERMAX,1
513,R8A-04,SUPERMAX TM-1,SL,235/45R17,47.792,AUTO TIRES,SUPERMAX,1
514,R8A-05,SUPERMAX TM-1,SL,235/45R17,47.792,AUTO TIRES,SUPERMAX,1
515,R8A-06,DORAL SDL 45A,SL,225/45R17,52.776,AUTO TIRES,DORAL,1
516,R8A-07,RADAR DIMAX AS-8,SL,215/55R17,48.584,AUTO TIRES,RADAR,1
517,R8A-08,ANTARES INGENS A1,XL,235/55R17,62.536,AUTO TIRES,ANTARES,1
518,R8A-09,MASTERCRAFT MC-440,SL,225/50R17,51.768,AUTO TIRES,MASTERCRAFT,1
519,R8A-10,SUPERMAX TM-1,SL,225/55R17,50.368,AUTO TIRES,SUPERMAX,1
520,R8A-11,SUPERMAX TM-1,SL,225/50R17,48.768,AUTO TIRES,SUPERMAX,1
521,R8A-12,VREDESTEIN QUATRAC 5,XL,215/50R17,100.936,AUTO TIRES,VREDESTEIN,1
